timestamp,open,high,low,close,volume
2021-01-01 00:00:00,1.85,1.98,1.80,1.95,45000.0
2021-01-01 01:00:00,1.95,2.15,1.92,2.10,68000.0
2021-01-01 02:00:00,2.10,2.35,2.05,2.28,95000.0
2021-01-01 03:00:00,2.28,2.50,2.20,2.45,120000.0
2021-01-01 04:00:00,2.45,2.80,2.40,2.72,165000.0
2021-01-01 05:00:00,2.72,3.10,2.65,3.02,210000.0
2021-01-01 06:00:00,3.02,3.45,2.95,3.38,270000.0
2021-01-01 07:00:00,3.38,3.90,3.30,3.82,340000.0
2021-01-01 08:00:00,3.82,4.25,3.75,4.15,410000.0
2021-01-01 09:00:00,4.15,4.60,4.05,4.50,490000.0
