timestamp,open,high,low,close,volume
2021-01-01 00:00:00,0.7690,0.7725,0.7680,0.7712,18000.0
2021-01-01 01:00:00,0.7712,0.7745,0.7705,0.7735,21000.0
2021-01-01 02:00:00,0.7735,0.7770,0.7725,0.7758,26000.0
2021-01-01 03:00:00,0.7758,0.7805,0.7750,0.7790,32000.0
2021-01-01 04:00:00,0.7790,0.7840,0.7780,0.7825,39000.0
2021-01-01 05:00:00,0.7825,0.7885,0.7815,0.7865,47000.0
2021-01-01 06:00:00,0.7865,0.7930,0.7855,0.7910,56000.0
2021-01-01 07:00:00,0.7910,0.7980,0.7900,0.7955,65000.0
2021-01-01 08:00:00,0.7955,0.8030,0.7945,0.8005,74000.0
2021-01-01 09:00:00,0.8005,0.8085,0.7995,0.8055,83000.0
