timestamp,open,high,low,close,volume
2021-01-01 00:00:00,737.85,755.00,730.00,749.50,15420.5
2021-01-01 01:00:00,749.50,768.20,745.00,762.10,18920.3
2021-01-01 02:00:00,762.10,785.00,758.00,779.80,24100.8
2021-01-01 03:00:00,779.80,810.00,775.00,805.40,31200.4
2021-01-01 04:00:00,805.40,845.00,800.00,838.90,38900.6
2021-01-01 05:00:00,838.90,880.00,830.00,872.30,45100.2
2021-01-01 06:00:00,872.30,915.00,865.00,908.00,52300.9
2021-01-01 07:00:00,908.00,950.00,895.00,942.50,61200.1
2021-01-01 08:00:00,942.50,980.00,930.00,971.00,68900.5
2021-01-01 09:00:00,971.00,1015.00,960.00,1005.00,74500.8
