timestamp,open,high,low,close,volume
2021-01-01 00:00:00,0.8950,0.8975,0.8940,0.8962,14000.0
2021-01-01 01:00:00,0.8962,0.8988,0.8955,0.8975,16500.0
2021-01-01 02:00:00,0.8975,0.9005,0.8968,0.8992,20000.0
2021-01-01 03:00:00,0.8992,0.9025,0.8985,0.9015,24000.0
2021-01-01 04:00:00,0.9015,0.9050,0.9008,0.9038,29000.0
2021-01-01 05:00:00,0.9038,0.9080,0.9030,0.9065,35000.0
2021-01-01 06:00:00,0.9065,0.9115,0.9055,0.9095,42000.0
2021-01-01 07:00:00,0.9095,0.9150,0.9085,0.9130,49000.0
2021-01-01 08:00:00,0.9130,0.9190,0.9120,0.9170,57000.0
2021-01-01 09:00:00,0.9170,0.9235,0.9160,0.9215,66000.0
