timestamp,open,high,low,close,volume
2021-01-01 00:00:00,1.3650,1.3685,1.3640,1.3672,25000.0
2021-01-01 01:00:00,1.3672,1.3710,1.3665,1.3698,28500.0
2021-01-01 02:00:00,1.3698,1.3745,1.3690,1.3730,34000.0
2021-01-01 03:00:00,1.3730,1.3780,1.3725,1.3765,41000.0
2021-01-01 04:00:00,1.3765,1.3820,1.3755,1.3805,48900.0
2021-01-01 05:00:00,1.3805,1.3860,1.3795,1.3842,55100.0
2021-01-01 06:00:00,1.3842,1.3910,1.3830,1.3895,62300.0
2021-01-01 07:00:00,1.3895,1.3960,1.3885,1.3940,71200.0
2021-01-01 08:00:00,1.3940,1.4010,1.3930,1.3985,81000.0
2021-01-01 09:00:00,1.3985,1.4060,1.3970,1.4035,92000.0
