timestamp,open,high,low,close,volume
2021-01-01 00:00:00,1.2215,1.2245,1.2205,1.2238,15000.0
2021-01-01 01:00:00,1.2238,1.2260,1.2230,1.2252,18500.0
2021-01-01 02:00:00,1.2252,1.2285,1.2245,1.2276,21000.0
2021-01-01 03:00:00,1.2276,1.2310,1.2270,1.2298,24500.0
2021-01-01 04:00:00,1.2298,1.2340,1.2290,1.2325,28900.0
2021-01-01 05:00:00,1.2325,1.2375,1.2315,1.2360,33100.0
2021-01-01 06:00:00,1.2360,1.2405,1.2350,1.2392,38200.0
2021-01-01 07:00:00,1.2392,1.2440,1.2380,1.2425,44100.0
2021-01-01 08:00:00,1.2425,1.2480,1.2410,1.2465,51000.0
2021-01-01 09:00:00,1.2465,1.2520,1.2450,1.2500,58900.0
