timestamp,open,high,low,close,volume
2021-01-01 00:00:00,103.25,103.50,103.15,103.42,45000.0
2021-01-01 01:00:00,103.42,103.75,103.35,103.68,58000.0
2021-01-01 02:00:00,103.68,104.10,103.60,103.95,72000.0
2021-01-01 03:00:00,103.95,104.45,103.85,104.30,89000.0
2021-01-01 04:00:00,104.30,104.85,104.20,104.72,105000.0
2021-01-01 05:00:00,104.72,105.30,104.60,105.15,128000.0
2021-01-01 06:00:00,105.15,105.80,105.05,105.65,148000.0
2021-01-01 07:00:00,105.65,106.35,105.50,106.20,172000.0
2021-01-01 08:00:00,106.20,106.90,106.10,106.75,195000.0
2021-01-01 09:00:00,106.75,107.50,106.65,107.35,220000.0
