timestamp,open,high,low,close,volume
2021-01-01 00:00:00,28923.63,29600.00,28800.00,29374.15,2489.12
2021-01-01 01:00:00,29374.15,29900.00,29200.00,29750.40,3120.45
2021-01-01 02:00:00,29750.40,30250.00,29600.00,30120.80,4150.80
2021-01-01 03:00:00,30120.80,30800.00,30000.00,30550.00,4890.30
2021-01-01 04:00:00,30550.00,31400.00,30400.00,31200.50,5610.90
2021-01-01 05:00:00,31200.50,32500.00,31000.00,32100.00,6780.20
2021-01-01 06:00:00,32100.00,33200.00,31800.00,32900.00,7230.15
2021-01-01 07:00:00,32900.00,34000.00,32500.00,33650.00,8120.40
2021-01-01 08:00:00,33650.00,34800.00,33200.00,34400.00,9450.60
2021-01-01 09:00:00,34400.00,35100.00,33900.00,34800.00,8910.20
